Point Reyes, CA
Station ID: 9415020
Tide Data

Station Date      Time  Pred 6 Acoustc  Backup
DCP#:                        1       1       2
Units:                  Meters  Meters  Meters
Data%:  MSL        GMT  100.00  99.851  99.851  
Maximum:                 0.876   0.959   0.952  
Minimum:                -1.001  -0.996  -0.997  
------- -------- ----- ------- ------- ------- 
9415020 20090901 00:00   0.177   0.228   0.230
9415020 20090901 00:06   0.195   0.206   0.208
9415020 20090901 00:12   0.214   0.241   0.242
9415020 20090901 00:18   0.234   0.290   0.290
9415020 20090901 00:24   0.253   0.317   0.318
9415020 20090901 00:30   0.274   0.320   0.320
9415020 20090901 00:36   0.294   0.333   0.331
9415020 20090901 00:42   0.315   0.348   0.348
9415020 20090901 00:48   0.336   0.369   0.367
9415020 20090901 00:54   0.358   0.369   0.366
9415020 20090901 01:00   0.379   0.403   0.400
9415020 20090901 01:06   0.401   0.433   0.431
9415020 20090901 01:12   0.422   0.441   0.440
9415020 20090901 01:18   0.443   0.479   0.478
9415020 20090901 01:24   0.465   0.501   0.494
9415020 20090901 01:30   0.486   0.519   0.515
9415020 20090901 01:36   0.507   0.512   0.508
9415020 20090901 01:42   0.527   0.549   0.542
9415020 20090901 01:48   0.547   0.563   0.555
9415020 20090901 01:54   0.567   0.584   0.579
9415020 20090901 02:00   0.586                
9415020 20090901 02:06   0.604   0.638   0.630
9415020 20090901 02:12   0.622   0.657   0.648
9415020 20090901 02:18   0.639   0.662   0.655
9415020 20090901 02:24   0.656   0.701   0.692
9415020 20090901 02:30   0.671   0.709   0.701
9415020 20090901 02:36   0.686   0.719   0.709
9415020 20090901 02:42   0.700   0.745   0.737
9415020 20090901 02:48   0.713   0.741   0.734
9415020 20090901 02:54   0.725   0.755   0.749
9415020 20090901 03:00   0.735   0.761   0.750
9415020 20090901 03:06   0.745   0.748   0.738
9415020 20090901 03:12   0.754   0.786   0.778
9415020 20090901 03:18   0.761   0.778   0.771
9415020 20090901 03:24   0.767   0.742   0.733
9415020 20090901 03:30   0.772   0.779   0.768
9415020 20090901 03:36   0.776   0.814   0.802
9415020 20090901 03:42   0.778   0.796   0.789
9415020 20090901 03:48   0.779   0.796   0.784
9415020 20090901 03:54   0.778   0.788   0.776
