Point Reyes, CA
Station ID: 9415020
Tide Data

Station Date      Time  Pred 6 Acoustc  Backup
DCP#:                        1       1       2
Units:                  Meters  Meters  Meters
Data%:  MSL        GMT  100.00  99.931  99.903  
Maximum:                 0.994   4.681   1.052  
Minimum:                -1.045  -1.127  -1.133  
------- -------- ----- ------- ------- ------- 
9415020 20090909 00:06  -0.005   0.003   0.006
9415020 20090909 00:12  -0.040   0.002   0.002
9415020 20090909 00:18  -0.074  -0.014  -0.014
9415020 20090909 00:24  -0.109  -0.045  -0.047
9415020 20090909 00:30  -0.142  -0.089  -0.091
9415020 20090909 00:36  -0.176  -0.135  -0.137
9415020 20090909 00:42  -0.209  -0.142  -0.146
9415020 20090909 00:48  -0.241  -0.167  -0.171
9415020 20090909 00:54  -0.273  -0.226  -0.232
9415020 20090909 01:00  -0.304  -0.285  -0.295
9415020 20090909 01:06  -0.334  -0.334  -0.339
9415020 20090909 01:12  -0.364  -0.353  -0.358
9415020 20090909 01:18  -0.392  -0.382  -0.385
9415020 20090909 01:24  -0.420  -0.395  -0.396
9415020 20090909 01:30  -0.447  -0.424  -0.429
9415020 20090909 01:36  -0.472  -0.438  -0.442
9415020 20090909 01:42  -0.497  -0.467  -0.472
9415020 20090909 01:48  -0.520  -0.504  -0.509
9415020 20090909 01:54  -0.542  -0.508  -0.510
9415020 20090909 02:00  -0.563  -0.525  -0.527
9415020 20090909 02:06  -0.582  -0.556  -0.558
9415020 20090909 02:12  -0.600  -0.575  -0.577
9415020 20090909 02:18  -0.617  -0.599  -0.600
9415020 20090909 02:24  -0.633  -0.604  -0.606
9415020 20090909 02:30  -0.647  -0.614  -0.614
9415020 20090909 02:36  -0.659  -0.606  -0.607
9415020 20090909 02:42  -0.671  -0.640  -0.643
9415020 20090909 02:48  -0.680  -0.664  -0.666
9415020 20090909 02:54  -0.689  -0.653  -0.654
9415020 20090909 03:00  -0.695  -0.656  -0.659
9415020 20090909 03:06  -0.701  -0.646  -0.648
9415020 20090909 03:12  -0.704  -0.677  -0.678
9415020 20090909 03:18  -0.707  -0.710  -0.711
9415020 20090909 03:24  -0.708  -0.677  -0.682
9415020 20090909 03:30  -0.707  -0.685  -0.685
