Alameda, CA Alameda, CA: Data Inventory 
Station ID: 9414750 
Meteorological Observations

Station Date      Time Wind Sp Wind Dr Wind Gt Air Tmp H2O Tmp Baro Pr
DCP#:                        1       1       1       1       1       1
Units:                 Mtr/Sec Degrees Mtr/Sec  Degr C  Degr C   mbars
Data%:  StnDtm     GMT  94.718  94.718  94.718  94.543  94.530  94.570  
Maximum:                12.900 359.000  14.600  23.500  20.900 1021.30  
Minimum:                 0.000   0.000   0.000  11.200  15.200 1009.40  
------- -------- ----- ------- ------- ------- ------- ------- ------- 
9414750 20050501 00:00   3.800 311.000   6.500  14.600  17.000 1018.80
9414750 20050501 00:06                                                
9414750 20050501 00:12   2.100 308.000   3.600  14.700  17.000 1018.50
9414750 20050501 00:18   3.700 345.000   5.000  15.000  16.900 1018.50
9414750 20050501 00:24   3.600 266.000   5.000  14.700  16.900 1019.20
9414750 20050501 00:30   3.700 271.000   4.800  14.500  16.600 1019.60
9414750 20050501 00:36   2.900 271.000   5.500  14.600  16.600 1019.50
9414750 20050501 00:42   3.400 270.000   4.700  14.700  16.300 1019.40
9414750 20050501 00:48   3.900 267.000   5.200  14.700  16.100 1019.30
9414750 20050501 00:54   2.800 277.000   5.500  14.600  16.000 1019.30
9414750 20050501 01:00   2.200 277.000   3.400  14.600  15.800 1019.30
9414750 20050501 01:06   2.500 268.000   4.000  14.600  15.800 1019.40
9414750 20050501 01:12   2.300 294.000   3.700  14.600  15.700 1019.10
9414750 20050501 01:18   1.300 278.000   2.400  14.600  15.700 1019.00
9414750 20050501 01:24   1.100 284.000   2.300  14.600  15.700 1018.70
9414750 20050501 01:30   1.200 275.000   2.100  14.700  15.600 1018.70
9414750 20050501 01:36   0.500 249.000   1.900  14.700  15.400 1018.70
9414750 20050501 01:42   2.500 268.000   3.100  14.800  15.300 1019.00
9414750 20050501 01:48   3.300 269.000   4.100  14.700  15.300 1019.10
9414750 20050501 01:54   3.700 270.000   4.800  14.900  15.300 1019.00
9414750 20050501 02:00   4.600 272.000   6.600  14.900  15.300 1019.10
9414750 20050501 02:06   5.100 268.000   6.800  14.400  15.300 1019.20
9414750 20050501 02:12   4.500 269.000   6.600  14.300  15.300 1019.30
9414750 20050501 02:18   4.900 269.000   6.300  14.300  15.200 1019.40
9414750 20050501 02:24   4.400 270.000   6.400  14.200  15.200 1019.30
9414750 20050501 02:30   4.700 269.000   6.000  14.200  15.200 1019.50
9414750 20050501 02:36                                                
9414750 20050501 02:42   4.300 272.000   6.200  14.200  15.300 1019.50
9414750 20050501 02:48   3.900 272.000   5.400  14.200  15.300 1019.60
9414750 20050501 02:54   4.200 272.000   5.400  14.100  15.300 1019.60
9414750 20050501 03:00   4.700 276.000   6.100  14.100  15.300 1019.50
9414750 20050501 03:06   3.600 271.000   5.200  14.000  15.300 1019.50
9414750 20050501 03:12   4.100 281.000   5.500  14.100  15.300 1019.40
9414750 20050501 03:18   4.800 279.000   5.900  13.900  15.300 1019.30
9414750 20050501 03:24   4.200 277.000   5.900  14.000  15.300 1019.20
9414750 20050501 03:30   4.700 279.000   5.900  13.900  15.300 1019.30
9414750 20050501 03:36   3.600 272.000   5.500  14.000  15.300 1019.40
9414750 20050501 03:42   3.400 272.000   5.000  14.100  15.400 1019.60
9414750 20050501 03:48   4.400 271.000   5.400  14.000  15.400 1019.60
9414750 20050501 03:54   3.200 266.000   5.400  14.100  15.400 1019.70
9414750 20050501 04:00   3.300 269.000   4.300  13.900  15.400 1019.70
9414750 20050501 04:06                                                
9414750 20050501 04:12   4.000 273.000   5.800  13.900  15.600 1019.80
9414750 20050501 04:18   4.100 270.000   5.800  13.900  15.600 1019.90
9414750 20050501 04:24   4.200 273.000   5.900  13.900  15.700 1019.90
9414750 20050501 04:30   3.500 269.000   5.500  13.900  15.700 1019.90
9414750 20050501 04:36   4.500 276.000   5.600  15.500  15.800 1019.90
9414750 20050501 04:42   3.600 281.000   4.600  13.800  15.800 1019.90
9414750 20050501 04:48   3.500 274.000   4.600  13.800  15.800 1019.80
9414750 20050501 04:54   2.600 275.000   4.100  13.900  15.900 1019.80
9414750 20050501 05:00   3.300 277.000   4.100  13.900  15.900 1019.80
9414750 20050501 05:06   3.300 276.000   4.200  13.800  16.000 1019.90
9414750 20050501 05:12   3.700 272.000   4.600  13.800  16.000 1019.90
9414750 20050501 05:18   3.800 270.000   4.900  13.800  15.900 1020.00
9414750 20050501 05:24   3.000 271.000   4.900  13.900  15.900 1020.00
9414750 20050501 05:30   2.600 267.000   4.100  13.700  16.000 1020.00
9414750 20050501 05:36   3.200 267.000   4.000  13.700  16.100 1020.10
9414750 20050501 05:42   3.700 269.000   5.200  13.700  16.200 1020.10
9414750 20050501 05:48   4.400 272.000   5.900  13.700  16.200 1020.10
9414750 20050501 05:54                                                
9414750 20050501 06:00   3.100 271.000   4.700  13.700  16.300 1020.10
9414750 20050501 06:06   2.800 270.000   3.800  13.700  16.400 1020.10
9414750 20050501 06:12   2.900 276.000   3.500  13.700  16.400 1020.00
9414750 20050501 06:18   3.100 274.000   4.200  13.700  16.400 1020.10
9414750 20050501 06:24   2.500 272.000   4.100  13.700  16.400 1020.00
9414750 20050501 06:30   3.000 275.000   4.400  13.700  16.400 1019.80
9414750 20050501 06:36   3.000 280.000   3.900  13.600  16.500 1019.90
9414750 20050501 06:42   3.200 282.000   4.200  13.500  16.600 1019.70
9414750 20050501 06:48   2.900 287.000   3.800  13.500  16.600 1019.70
9414750 20050501 06:54   2.700 287.000   3.400  13.400  16.600 1019.70
9414750 20050501 07:00   2.500 283.000   3.500  13.500  16.600 1019.80
9414750 20050501 07:06   1.500 291.000   3.100  13.400  16.600 1019.80
9414750 20050501 07:12   1.400 281.000   2.700  13.400  16.600 1019.70
9414750 20050501 07:18   2.400 269.000   3.500  13.500  16.600 1019.70
9414750 20050501 07:24   2.800 276.000   3.700  13.600  16.600 1019.70
9414750 20050501 07:30   2.800 277.000   3.700  13.500  16.600 1019.70
9414750 20050501 07:36   1.800 275.000   3.400  13.600  16.600 1019.60
9414750 20050501 07:42   1.900 271.000   3.400  13.600  16.600 1019.60
9414750 20050501 07:48   2.200 280.000   2.700  13.500  16.600 1019.60
9414750 20050501 07:54   2.000 280.000   2.800  13.500  16.600 1019.60
9414750 20050501 08:00   0.800 268.000   2.600  13.500  16.600 1019.60
9414750 20050501 08:06   1.500 266.000   2.900  13.500  16.600 1019.60
9414750 20050501 08:12   2.400 264.000   3.100  13.600  16.600 1019.80
9414750 20050501 08:18   2.300 270.000   3.500  13.600  18.400 1019.70
9414750 20050501 08:24   0.800 271.000   2.700  13.600  16.600 1019.70
9414750 20050501 08:30   1.700 269.000   2.800  13.500  16.600 1019.50
9414750 20050501 08:36   2.000 274.000   3.300  13.500  16.600 1019.50
9414750 20050501 08:42   1.100 273.000   3.200  13.500  16.600 1019.50
9414750 20050501 08:48   2.000 270.000   2.900  13.500  16.600 1019.50
9414750 20050501 08:54   1.700 266.000   2.900  13.500  16.600 1019.50
9414750 20050501 09:00   2.100 266.000   3.100  13.500  16.600 1019.60
9414750 20050501 09:06   1.600 265.000   2.700  13.500  16.600 1019.60
9414750 20050501 09:12   1.800 269.000   3.100  13.400  16.600 1019.50
9414750 20050501 09:18   2.700 281.000   3.500  13.400  16.600 1019.40
9414750 20050501 09:24   1.700 277.000   3.100  13.400  16.500 1019.30
9414750 20050501 09:30   1.100 273.000   2.600  13.300  16.500 1019.30
9414750 20050501 09:36   2.200 281.000   2.800  13.300  16.500 1019.20
