Port Chicago, CA Port Chicago, CA: Data Inventory 
Station ID: 9415144 Page Help 

Meteorological Observations

Station Date      Time Wind Sp Wind Dr Wind Gt Air Tmp H2O Tmp Baro Pr
DCP#:                        1       1       1       1       1       1
Units:                 Mtr/Sec Degrees Mtr/Sec  Degr C  Degr C   mbars
Data%:  StnDtm     GMT  97.728  97.728  97.728  97.567  97.527  97.581  
Maximum:                14.100 344.000  17.900  28.000  22.300 1023.60  
Minimum:                 0.000   1.000   0.000   9.300  16.300 1009.00  
------- -------- ----- ------- ------- ------- ------- ------- ------- 
9415144 20050501 00:00   7.400 237.000   9.100  15.900  17.400 1018.90
9415144 20050501 00:06                                                
9415144 20050501 00:12   8.100 245.000   9.700  15.600  17.400 1018.90
9415144 20050501 00:18   7.900 243.000   9.600  15.600  17.400 1019.00
9415144 20050501 00:24   8.200 244.000   9.600  15.800  17.400 1018.70
9415144 20050501 00:30   8.000 241.000   9.200  15.500  17.400 1018.70
9415144 20050501 00:36   5.900 233.000   7.600  15.500  17.400 1018.60
9415144 20050501 00:42   6.000 241.000   7.200  15.400  17.400 1018.50
9415144 20050501 00:48   7.000 248.000   8.300  15.500  17.300 1018.40
9415144 20050501 00:54   6.600 242.000   8.000  15.200  17.300 1018.40
9415144 20050501 01:00   4.700 243.000   7.000  15.500  17.300 1018.20
9415144 20050501 01:06   6.000 266.000   7.100  15.300  17.300 1017.60
9415144 20050501 01:12   5.400 289.000   6.700  15.400  17.300 1017.70
9415144 20050501 01:18   5.800 276.000   6.900  15.600  17.300 1018.20
9415144 20050501 01:24   4.800 214.000   7.900  15.200  17.300 1018.40
9415144 20050501 01:30   6.100 219.000   8.000  14.900  17.300 1018.50
9415144 20050501 01:36   6.300 215.000   7.500  15.200  17.300 1018.50
9415144 20050501 01:42   4.100 216.000   6.200  15.000  17.300 1018.30
9415144 20050501 01:48   1.900 209.000   4.100  15.000  17.300 1017.90
9415144 20050501 01:54   3.000 211.000   4.500  15.100  17.300 1017.80
9415144 20050501 02:00   5.000 237.000   6.100  15.400  17.300 1017.60
9415144 20050501 02:06   4.900 227.000   6.000  15.000  17.300 1017.50
9415144 20050501 02:12   6.000 235.000   6.800  15.300  17.300 1017.50
9415144 20050501 02:18   7.100 233.000   7.600  15.400  17.300 1017.80
9415144 20050501 02:24   7.100 238.000   8.000  15.100  17.300 1018.10
9415144 20050501 02:30   7.200 239.000   8.800  15.000  17.300 1018.20
9415144 20050501 02:36   9.300 239.000  10.500  15.000  17.300 1018.10
9415144 20050501 02:42   6.900 233.000   9.800  14.600  17.300 1018.20
9415144 20050501 02:48   6.100 229.000   9.100  14.700  17.300 1018.00
9415144 20050501 02:54   7.300 230.000   8.500  14.600  17.300 1018.30
9415144 20050501 03:00   6.000 228.000   9.100  14.300  17.300 1018.40
9415144 20050501 03:06   6.300 222.000   7.400  14.100  17.300 1018.50
9415144 20050501 03:12   6.700 228.000   8.400  13.900  17.300 1018.70
9415144 20050501 03:18   6.200 224.000   8.500  13.800  17.300 1018.80
9415144 20050501 03:24   6.300 223.000   8.100  13.900  17.300 1018.50
9415144 20050501 03:30   5.700 222.000   7.300  13.500  17.300 1018.50
9415144 20050501 03:36   5.700 227.000   8.100  13.800  17.300 1018.50
9415144 20050501 03:42   6.300 222.000   7.500  14.000  17.300 1018.50
9415144 20050501 03:48   5.600 218.000   7.300  13.600  17.200 1018.60
9415144 20050501 03:54   4.800 223.000   7.000  13.700  17.200 1018.60
9415144 20050501 04:00   5.400 221.000   7.000  13.800  17.200 1018.40
9415144 20050501 04:06   5.500 225.000   6.700  13.600  17.200 1018.50
9415144 20050501 04:12   4.700 220.000   6.100  13.800  17.200 1018.60
9415144 20050501 04:18   4.700 213.000   6.500  14.000  17.200 1018.80
9415144 20050501 04:24   5.100 216.000   6.800  13.700  17.200 1019.00
9415144 20050501 04:30   6.000 215.000   8.100  13.800  17.200 1019.10
9415144 20050501 04:36   5.600 214.000   7.400  13.800  17.200 1019.10
9415144 20050501 04:42   5.500 228.000   8.300  13.900  17.200 1018.80
9415144 20050501 04:48   5.800 219.000   6.900  13.800  17.200 1018.90
9415144 20050501 04:54   4.800 226.000   7.000  13.300  17.200 1019.10
9415144 20050501 05:00   5.600 232.000   6.900  13.700  17.200 1019.20
9415144 20050501 05:06   6.500 239.000   8.200  13.800  17.200 1019.20
9415144 20050501 05:12   7.900 245.000   9.200  13.400  17.200 1019.00
9415144 20050501 05:18   6.100 239.000   8.500  13.700  17.200 1019.00
9415144 20050501 05:24   7.300 241.000   8.400  13.500  17.200 1019.10
9415144 20050501 05:30   6.300 237.000   8.000  13.400  17.200 1019.20
9415144 20050501 05:36   6.200 247.000   8.400  13.400  17.200 1019.20
9415144 20050501 05:42   6.000 244.000   8.200  13.500  17.200 1019.00
9415144 20050501 05:48   7.600 244.000   8.700  13.400  17.200 1019.00
9415144 20050501 05:54   6.800 245.000   8.500  13.700  17.200 1019.10
9415144 20050501 06:00   6.900 244.000   9.300  13.500  17.200 1019.20
9415144 20050501 06:06   8.900 240.000  10.000  13.600  17.200 1019.20
9415144 20050501 06:12   6.500 236.000   9.600  13.300  17.100 1019.10
9415144 20050501 06:18   6.600 225.000   9.300  13.300  17.200 1019.00
9415144 20050501 06:24   5.500 228.000   8.000  12.900  17.200 1019.10
9415144 20050501 06:30   4.600 223.000   5.900  13.000  17.100 1019.10
9415144 20050501 06:36   5.600 226.000   6.700  13.000  17.100 1019.10
9415144 20050501 06:42   5.100 226.000   7.400  13.200  17.100 1019.20
9415144 20050501 06:48   5.200 228.000   7.200  13.200  17.100 1018.90
9415144 20050501 06:54   5.100 221.000   7.800  13.200  17.100 1019.00
9415144 20050501 07:00   5.400 222.000   6.500  13.200  17.100 1019.00
9415144 20050501 07:06   5.400 223.000   6.500  13.300  17.100 1019.00
9415144 20050501 07:12   4.700 222.000   6.500  13.100  17.100 1019.00
9415144 20050501 07:18   5.100 222.000   6.200  13.200  17.100 1019.20
9415144 20050501 07:24   4.000 221.000   6.200  12.900  17.100 1018.90
9415144 20050501 07:30   4.400 221.000   5.900  12.800  17.100 1018.90
9415144 20050501 07:36   4.000 220.000   4.900  12.800  17.100 1018.90
9415144 20050501 07:42   4.000 217.000   5.000  12.800  17.100 1019.10
9415144 20050501 07:48   4.000 216.000   5.100  12.600  17.100 1019.10
9415144 20050501 07:54   3.700 215.000   5.000  12.600  17.000 1019.00
9415144 20050501 08:00   3.700 213.000   6.000  12.600  17.100 1018.80
9415144 20050501 08:06   3.600 215.000   4.500  12.800  17.000 1018.70
9415144 20050501 08:12   3.500 213.000   4.700  12.500  17.000 1018.80
9415144 20050501 08:18                                                
9415144 20050501 08:24   4.300 217.000   5.400  12.800  17.000 1018.70
9415144 20050501 08:30   4.600 218.000   5.500  12.600  17.000 1018.70
9415144 20050501 08:36   3.900 214.000   5.000  12.500  17.000 1018.60
9415144 20050501 08:42   4.800 218.000   5.300  12.400  17.000 1018.70
9415144 20050501 08:48   4.900 219.000   5.600  12.100  17.000 1018.70
9415144 20050501 08:54   4.100 220.000   5.500  12.200  17.000 1018.80
9415144 20050501 09:00   4.400 212.000   5.700  12.400  17.000 1018.80
9415144 20050501 09:06   4.400 218.000   5.600  12.300  16.900 1018.80
9415144 20050501 09:12   5.100 217.000   6.100  12.500  16.900 1018.50
9415144 20050501 09:18   4.900 219.000   6.000  12.300  16.900 1018.50
9415144 20050501 09:24   4.900 218.000   5.700  12.400  16.800 1018.70
