Redwood City, CA: Data Inventory 
Station ID: 9414523 Page Help 

Meteorological Observations

Station Date      Time Wind Sp Wind Dr Wind Gt Air Tmp H2O Tmp Baro Pr
DCP#:                        1       1       1       1       1       1
Units:                 Mtr/Sec Degrees Mtr/Sec  Degr C  Degr C   mbars
Data%:  StnDtm     GMT  97.540  97.540  97.540  97.366  97.352  97.392  
Maximum:                11.500 359.000  14.200  25.700  20.500 1021.20  
Minimum:                 0.000   0.000   0.000   9.900  15.900 1010.20  
------- -------- ----- ------- ------- ------- ------- ------- ------- 
9414523 20050501 00:00   3.100 305.000   3.900  14.800  16.600 1019.50
9414523 20050501 00:06   3.600 315.000   4.600  14.600  16.600 1019.50
9414523 20050501 00:12   2.800 308.000   4.800  14.700  16.600 1019.50
9414523 20050501 00:18   3.500 317.000   4.600  14.700  16.600 1019.50
9414523 20050501 00:24   3.600 319.000   4.700  14.700  16.600 1019.40
9414523 20050501 00:30   2.400 285.000   4.000  14.700  16.600 1019.50
9414523 20050501 00:36   1.800 291.000   4.200  14.900  16.600 1019.50
9414523 20050501 00:42   2.800 319.000   3.400  14.900  16.600 1019.50
9414523 20050501 00:48   4.700 302.000   5.600  14.900  16.600 1019.60
9414523 20050501 00:54   1.400 345.000   5.000  14.800  16.600 1019.30
9414523 20050501 01:00   0.000   2.000   1.500  14.900  16.500 1019.20
9414523 20050501 01:06   0.000 352.000   0.800  14.900  16.500 1019.10
9414523 20050501 01:12   0.500   9.000   1.500  15.100  16.600 1018.90
9414523 20050501 01:18   0.500  49.000   1.700  15.000  16.600 1018.80
9414523 20050501 01:24   1.800  35.000   3.200  15.000  16.500 1018.90
9414523 20050501 01:30   0.000  44.000   2.400  15.000  16.600 1018.90
9414523 20050501 01:36   0.000  11.000   0.100  15.100  16.500 1018.90
9414523 20050501 01:42   0.500 277.000   1.700  15.100  16.500 1019.20
9414523 20050501 01:48   2.800 283.000   3.500  15.000  16.500 1019.10
9414523 20050501 01:54   2.200 279.000   3.600  15.000  16.500 1019.20
9414523 20050501 02:00   1.900 276.000   3.000  15.200  16.500 1019.10
9414523 20050501 02:06   2.900 290.000   4.100  15.100  16.500 1019.00
9414523 20050501 02:12   3.100 310.000   4.100  15.100  16.500 1019.00
9414523 20050501 02:18   4.300 321.000   5.500  15.000  16.500 1019.00
9414523 20050501 02:24   5.500 294.000   6.400  14.700  16.500 1019.20
9414523 20050501 02:30   5.000 284.000   6.800  14.300  16.500 1019.20
9414523 20050501 02:36   5.600 281.000   6.800  14.300  16.500 1019.40
9414523 20050501 02:42   5.300 288.000   6.400  13.900  16.500 1019.20
9414523 20050501 02:48   5.500 294.000   6.500  13.900  16.500 1019.20
9414523 20050501 02:54   5.500 287.000   6.600  13.800  16.500 1019.40
9414523 20050501 03:00   5.400 284.000   6.700  13.800  16.500 1019.40
9414523 20050501 03:06   4.800 292.000   5.700  13.800  16.500 1019.30
9414523 20050501 03:12   5.200 291.000   5.900  13.800  16.500 1019.50
9414523 20050501 03:18   4.600 279.000   5.900  13.700  16.500 1019.50
9414523 20050501 03:24   4.400 282.000   5.000  13.800  16.500 1019.60
9414523 20050501 03:30                                                
9414523 20050501 03:36   3.700 286.000   5.100  13.500  16.400 1019.60
9414523 20050501 03:42   4.500 279.000   5.300  13.700  16.400 1019.70
9414523 20050501 03:48   4.100 285.000   4.900  13.500  16.400 1019.60
9414523 20050501 03:54   4.400 278.000   4.900  13.500  16.400 1019.70
9414523 20050501 04:00   3.800 274.000   4.800  13.500  16.400 1019.80
9414523 20050501 04:06   3.600 286.000   4.400  13.500  16.400 1019.90
9414523 20050501 04:12   3.600 283.000   4.000  13.600  16.400 1019.90
9414523 20050501 04:18   2.400 289.000   4.300  13.600  16.400 1020.00
9414523 20050501 04:24   3.600 292.000   4.100  13.500  16.400 1020.00
9414523 20050501 04:30   2.500 290.000   3.600  13.500  16.400 1020.00
9414523 20050501 04:36   4.000 302.000   4.800  13.500  16.400 1020.00
9414523 20050501 04:42   3.500 298.000   5.100  13.400  16.400 1019.90
9414523 20050501 04:48   3.900 299.000   4.800  13.500  16.400 1020.00
9414523 20050501 04:54   3.800 295.000   4.500  13.500  16.400 1020.00
9414523 20050501 05:00   2.500 305.000   3.900  13.500  16.400 1020.00
9414523 20050501 05:06   2.900 307.000   4.400  13.500  16.400 1020.00
9414523 20050501 05:12                                                
