Richmond, CA Richmond, CA: Data Inventory 
Station ID: 9414863 
Meteorological Observations

Station Date      Time Wind Sp Wind Dr Wind Gt Air Tmp H2O Tmp Baro Pr
DCP#:                        1       1       1       1       1       1
Units:                 Mtr/Sec Degrees Mtr/Sec  Degr C  Degr C   mbars
Data%:  StnDtm     GMT  96.788  96.788  96.788  96.613  96.599  96.626  
Maximum:                11.700 359.000  14.200  23.300  21.500 1021.00  
Minimum:                 0.000   0.000   0.000  11.200  13.400 1008.80  
------- -------- ----- ------- ------- ------- ------- ------- ------- 
9414863 20050501 00:00   1.600 303.000   5.600  14.800  14.800 1019.50
9414863 20050501 00:06                                                
9414863 20050501 00:12   2.500  18.000   3.000  14.800  14.700 1019.20
9414863 20050501 00:18   3.700  40.000   4.700  15.000  14.700 1018.90
9414863 20050501 00:24   4.700  55.000   5.400  15.100  14.700 1018.60
9414863 20050501 00:30   4.600  44.000   5.700  15.100  14.700 1018.40
9414863 20050501 00:36   5.200  49.000   6.300  15.000  14.700 1018.30
9414863 20050501 00:42   5.700  33.000   7.200  14.900  14.700 1018.80
9414863 20050501 00:48   3.200 282.000   5.600  15.200  14.700 1019.20
9414863 20050501 00:54   2.400 312.000   4.500  15.000  14.600 1019.30
9414863 20050501 01:00   2.000 307.000   5.600  14.800  14.500 1019.20
9414863 20050501 01:06   1.900 278.000   3.300  15.000  14.500 1018.90
9414863 20050501 01:12   2.500 311.000   3.200  14.900  14.500 1019.00
9414863 20050501 01:18   0.400 196.000   3.500  14.400  14.500 1018.60
9414863 20050501 01:24   0.400 232.000   2.300  14.400  14.500 1018.50
9414863 20050501 01:30   0.300 210.000   1.200  14.500  14.500 1018.60
9414863 20050501 01:36   1.600 248.000   2.600  14.500  14.600 1018.90
9414863 20050501 01:42   1.400 269.000   4.400  14.300  14.600 1018.80
9414863 20050501 01:48   3.400 267.000   5.800  14.100  14.500 1019.00
9414863 20050501 01:54   5.000 287.000   7.000  13.900  14.500 1019.20
9414863 20050501 02:00   5.100 298.000   8.900  13.700  14.500 1019.20
9414863 20050501 02:06   5.400 296.000   8.300  13.700  14.400 1019.00
9414863 20050501 02:12   5.100 296.000   7.700  13.700  14.500 1018.90
9414863 20050501 02:18   5.200 305.000   7.900  13.700  14.500 1019.00
9414863 20050501 02:24   3.400 323.000   6.800  13.600  14.500 1019.20
9414863 20050501 02:30   4.200 312.000   5.800  13.600  14.400 1019.20
9414863 20050501 02:36   4.800 312.000   6.600  13.600  14.400 1019.20
9414863 20050501 02:42   3.700 309.000   5.600  13.600  14.400 1019.10
9414863 20050501 02:48   3.600 305.000   5.500  13.600  14.400 1019.20
9414863 20050501 02:54   3.800 302.000   5.400  13.500  14.400 1019.30
9414863 20050501 03:00   2.700 287.000   4.200  13.700  14.300 1019.30
9414863 20050501 03:06   3.100 285.000   4.300  13.600  14.200 1019.40
9414863 20050501 03:12   2.900 295.000   5.200  13.600  14.100 1019.20
9414863 20050501 03:18   2.300 292.000   6.400  13.600  14.100 1019.30
9414863 20050501 03:24   2.700 306.000   5.000  13.600  14.000 1019.30
9414863 20050501 03:30                                                
9414863 20050501 03:36   1.900 334.000   3.500  13.600  14.000 1019.20
9414863 20050501 03:42   3.000 353.000   3.500  13.600  14.000 1019.10
9414863 20050501 03:48   1.800  10.000   3.100  13.700  13.900 1019.10
9414863 20050501 03:54   2.100   9.000   2.800  13.900  13.900 1019.20
9414863 20050501 04:00   2.100 338.000   3.500  13.800  13.900 1019.40
9414863 20050501 04:06   3.800 344.000   4.800  13.900  13.900 1019.50
9414863 20050501 04:12   3.300 341.000   4.700  13.900  13.800 1019.70
9414863 20050501 04:18   2.600 338.000   3.600  13.900  13.800 1019.70
9414863 20050501 04:24                                                
9414863 20050501 04:30   3.300 349.000   4.000  13.800  13.800 1019.70
9414863 20050501 04:36   3.800 355.000   4.900  13.800  13.800 1019.70
9414863 20050501 04:42   3.500  13.000   4.800  13.700  13.800 1019.70
9414863 20050501 04:48   3.000  18.000   4.200  13.800  13.800 1019.60
9414863 20050501 04:54   3.200   1.000   4.700  13.800  13.900 1019.70
9414863 20050501 05:00   1.100 275.000   2.600  13.900  13.900 1019.70
9414863 20050501 05:06   1.000 277.000   2.000  13.900  13.900 1019.80
9414863 20050501 05:12   0.200 272.000   2.200  13.800  14.100 1019.80
9414863 20050501 05:18   0.400 291.000   1.700  13.700  14.200 1019.70
9414863 20050501 05:24   0.400 316.000   1.700  13.600  14.100 1019.70
9414863 20050501 05:30   0.000 309.000   1.600  13.600  14.100 1019.80
9414863 20050501 05:36   0.900 299.000   1.900  13.600  14.000 1019.90
9414863 20050501 05:42   0.700 317.000   2.300  13.600  14.000 1019.90
9414863 20050501 05:48   2.700 341.000   3.600  13.700  14.000 1019.90
9414863 20050501 05:54   2.500   2.000   3.900  13.700  14.000 1019.90
9414863 20050501 06:00   2.600 358.000   3.500  13.700  14.000 1019.80
9414863 20050501 06:06   3.400  27.000   5.200  13.600  14.100 1019.80
