Alameda, CA 	
Station ID: 9414750	
Meteorological Observations

Station Date      Time Wind Sp Wind Dr Wind Gt Air Tmp H2O Tmp Baro Pr
DCP#:                        1       1       1       1       1       1
Units:                 Mtr/Sec Degrees Mtr/Sec  Degr C  Degr C   mbars
Data%:  StnDtm     GMT  97.679  97.679  97.679  97.440  97.530  97.560  
Maximum:                13.500 359.000  15.800  12.700  11.100 1027.80  
Minimum:                 0.000   0.000   0.000   4.600  10.000 991.400  
------- -------- ----- ------- ------- ------- ------- ------- ------- 
9414750 20050101 00:00   5.200 169.000   8.600  10.700  11.000 1011.60
9414750 20050101 00:06   5.200 166.000   5.800  10.700  11.000 1011.60
9414750 20050101 00:12   5.600 162.000   6.500  10.800  11.000 1011.60
9414750 20050101 00:18   6.100 163.000   6.700  10.800  11.000 1011.60
9414750 20050101 00:24   5.900 162.000   6.900  10.900  11.000 1011.60
9414750 20050101 00:30   5.400 159.000   6.500  10.800  10.900 1011.50
9414750 20050101 00:36   7.400 185.000   8.600  11.100  11.000 1011.50
9414750 20050101 00:42   6.700 185.000   9.800  11.000  11.000 1011.50
9414750 20050101 00:48   6.000 194.000   8.500  10.800  11.000 1011.50
9414750 20050101 00:54   5.500 189.000   7.200  10.600  10.900 1011.60
9414750 20050101 01:00   1.900 235.000   6.400  10.400  11.000 1011.90
9414750 20050101 01:06   2.900 286.000   4.700   9.700  11.000 1012.10
9414750 20050101 01:12   5.100 275.000   6.300   9.000  11.000 1012.20
9414750 20050101 01:18   4.500 276.000   6.500   8.700  11.000 1012.00
9414750 20050101 01:24   3.600 276.000   5.200   8.600  11.000 1011.90
9414750 20050101 01:30   3.200 269.000   4.200   8.700  11.000 1011.90
9414750 20050101 01:36                                                
9414750 20050101 01:42   1.600 272.000   3.800   8.800  11.000 1011.70
9414750 20050101 01:48   0.200 286.000   3.000   8.900  11.000 1011.80
9414750 20050101 01:54   2.300 201.000   4.000   9.100  11.000 1011.70
9414750 20050101 02:00   4.400 181.000   5.000   9.300  11.000 1011.80
9414750 20050101 02:06   4.400 164.000   4.800   9.500  11.000 1011.80
9414750 20050101 02:12   5.100 167.000   5.800   9.700  11.000 1011.80
9414750 20050101 02:18   5.800 164.000   6.700   9.700  11.000 1011.70
9414750 20050101 02:24   5.600 162.000   7.100   9.800  11.000 1011.70
9414750 20050101 02:30   5.400 176.000   6.400   9.900  11.000 1011.70
9414750 20050101 02:36   7.400 184.000   8.800  10.100  11.000 1011.70
9414750 20050101 02:42   7.600 182.000   9.100   9.900  11.000 1011.60
9414750 20050101 02:48   7.400 173.000   9.500          11.000 1011.60
9414750 20050101 02:54   8.900 177.000   9.700   9.700  11.000 1011.60
9414750 20050101 03:00   8.200 182.000  10.200   9.700  11.000 1011.90
9414750 20050101 03:06   7.800 184.000   9.300   9.600  11.000 1012.00
9414750 20050101 03:12   7.400 177.000   9.700   9.500  11.000 1011.90
9414750 20050101 03:18   7.400 183.000   9.800   9.600  11.000 1011.90
9414750 20050101 03:24   3.900 214.000   9.500   9.700  11.000 1012.00
9414750 20050101 03:30   5.800 195.000   8.600   9.800  11.000 1012.20
9414750 20050101 03:36   4.600 199.000   8.300   9.900  11.000 1012.20
9414750 20050101 03:42   4.600 193.000   7.400   9.900  11.000 1012.30
9414750 20050101 03:48   3.900 204.000   6.200   9.900  11.000 1012.30
9414750 20050101 03:54                                                
9414750 20050101 04:00   5.500 194.000   7.100   9.700  11.000 1012.20
9414750 20050101 04:06   5.700 192.000   7.000   9.500  11.000 1012.20
9414750 20050101 04:12   5.300 193.000   6.400   9.400  11.000 1012.20
9414750 20050101 04:18   5.000 190.000   6.300   9.500  11.000 1012.20
9414750 20050101 04:24   4.300 193.000   6.300   9.700  11.000 1012.30
9414750 20050101 04:30   3.700 202.000   5.300   9.800  11.000 1012.50
9414750 20050101 04:36   2.900 209.000   4.600   9.900  11.000 1012.50
9414750 20050101 04:42   1.500 207.000   5.100  10.000  11.000 1012.60
9414750 20050101 04:48   0.800 227.000   4.100  10.000  11.000 1012.70
9414750 20050101 04:54   1.100 216.000   3.900  10.100  11.000 1012.70
9414750 20050101 05:00   0.100 256.000   2.800  10.000  11.000 1012.70
9414750 20050101 05:06   1.000 278.000   2.300  10.100  11.000 1012.70
9414750 20050101 05:12   1.800 272.000   3.200  10.300  11.000 1012.80
9414750 20050101 05:18   1.700 274.000   2.800  10.400  11.000 1012.60
9414750 20050101 05:24                                                
9414750 20050101 05:30   2.000 275.000   3.000  10.400  11.000 1012.90
9414750 20050101 05:36   1.400 280.000   3.300  10.400  11.000 1012.90
9414750 20050101 05:42   1.000 275.000   2.900  10.400  11.000 1012.90
9414750 20050101 05:48   0.500 284.000   2.400  10.400  11.000 1013.00
9414750 20050101 05:54   0.400 269.000   2.000  10.400  11.000 1013.10
9414750 20050101 06:00   0.700 270.000   2.500  10.300  11.000 1013.10
9414750 20050101 06:06   1.200 283.000   3.200  10.100  11.000 1013.20
9414750 20050101 06:12   1.800 285.000   2.900  10.000  11.000 1013.20
9414750 20050101 06:18   1.400 277.000   3.100  10.100  11.000 1013.20
9414750 20050101 06:24   1.700 269.000   3.000  10.100  10.900 1013.30
9414750 20050101 06:30   1.000 259.000   4.000  10.100  11.000 1013.50
9414750 20050101 06:36   2.800 268.000   4.100   9.700  11.000 1013.70
9414750 20050101 06:42   1.800 266.000   4.400   9.300  10.900 1013.70
9414750 20050101 06:48   1.800 264.000   3.600   9.300  10.900 1013.70
9414750 20050101 06:54   1.300 270.000   3.000   9.400  10.900 1013.70
9414750 20050101 07:00   1.600 264.000   3.200   9.600  10.900 1013.80
9414750 20050101 07:06   0.800 265.000   2.400   9.700  10.900 1013.90
9414750 20050101 07:12   0.400 268.000   1.900   9.900  10.900 1013.80
9414750 20050101 07:18   0.500 268.000   2.200   9.800  10.900 1013.80
9414750 20050101 07:24   1.300 274.000   3.500  10.000  10.900 1013.90
9414750 20050101 07:30   2.600 229.000   5.000   9.900  10.900 1014.00
9414750 20050101 07:36   1.600 275.000   3.900   9.700  10.900 1013.90
9414750 20050101 07:42   2.600 267.000   4.000  10.000  10.900 1014.10
9414750 20050101 07:48   6.500 279.000   8.600   9.400  10.900 1014.10
9414750 20050101 07:54   4.200 277.000   6.500   9.400  10.900 1014.10
9414750 20050101 08:00   3.000 275.000   5.200   9.500  10.900 1014.20
9414750 20050101 08:06   2.000 270.000   4.000   9.500  10.900 1014.20
9414750 20050101 08:12   2.300 272.000   3.300   9.700  10.900 1014.10
9414750 20050101 08:18                                                
9414750 20050101 08:24   2.900 266.000   4.200  10.100  10.900 1014.10
9414750 20050101 08:30   2.400 268.000   4.300  10.100  10.900 1014.00
9414750 20050101 08:36                          10.100  10.900 1014.00
9414750 20050101 08:42   1.600 271.000   3.100  10.100  10.900 1014.00
9414750 20050101 08:48   2.000 267.000   3.300  10.100  10.900 1014.00
9414750 20050101 08:54   2.000 264.000   3.200  10.100  10.900 1014.00
9414750 20050101 09:00   3.900 277.000   5.200   9.800  10.900 1014.20
9414750 20050101 09:06   5.900 278.000   7.500   9.400  10.900 1014.50
9414750 20050101 09:12   3.700 273.000   8.600   8.800  10.800 1014.40
9414750 20050101 09:18   3.400 272.000   4.600   9.000  10.800 1014.30
9414750 20050101 09:24   4.200 286.000   5.700   9.100  10.800 1014.20
9414750 20050101 09:30   2.900 282.000   4.700   8.900  10.800 1014.40
9414750 20050101 09:36   2.900 285.000   4.400   8.900  10.800 1014.50
9414750 20050101 09:42   1.800 295.000   3.800   8.900  10.800 1014.50
9414750 20050101 09:48   0.000 316.000   1.800   8.800  10.800 1014.50
9414750 20050101 09:54   0.000 313.000   0.400   8.700  10.800 1014.60
9414750 20050101 10:00   0.100   4.000   0.400   8.600  10.800 1014.70
9414750 20050101 10:06   0.000   7.000   0.100   8.300  10.800 1014.90
9414750 20050101 10:12   0.400  29.000   0.600   8.000  10.800 1014.80
9414750 20050101 10:18   0.500  63.000   1.100   7.800  10.800 1014.90
9414750 20050101 10:24   0.100  56.000   0.500   7.800  10.800 1015.00
9414750 20050101 10:30   0.400  56.000   0.500   7.800  10.800 1015.00
9414750 20050101 10:36   0.200  87.000   0.500   7.800  10.800 1015.10
9414750 20050101 10:42   0.000  72.000   0.300   7.700  10.800 1015.10
9414750 20050101 10:48   2.100  71.000   2.200   7.700  10.800 1014.90
9414750 20050101 10:54   1.000  86.000   2.200   8.000  10.800 1015.00
9414750 20050101 11:00   2.000 106.000   2.200   8.000  10.800 1015.20
9414750 20050101 11:06   3.700 120.000   5.500   8.300  10.800 1015.20
9414750 20050101 11:12   1.000 137.000   3.400   8.500  10.800 1015.10
9414750 20050101 11:18   0.400 119.000   1.900   8.400  10.800 1015.20
9414750 20050101 11:24   0.100 153.000   2.000   8.700  10.800 1015.20
9414750 20050101 11:30   0.100 128.000   2.100   8.800  10.700 1015.10
9414750 20050101 11:36   0.000 109.000   0.500   8.700  10.700 1015.10
9414750 20050101 11:42   0.000 117.000   0.000   8.400  10.800 1015.20
9414750 20050101 11:48   0.000 138.000   0.000   8.400  10.800 1015.40
9414750 20050101 11:54   2.700 251.000   8.200   8.500  10.700 1015.80
9414750 20050101 12:00   6.400 279.000   8.300   8.100  10.800 1015.70
9414750 20050101 12:06   4.600 281.000   6.100   8.500  10.800 1015.50
9414750 20050101 12:12   3.900 279.000   5.700   9.400  10.800 1015.50
9414750 20050101 12:18   2.400 266.000   4.800   9.800  10.800 1015.50
9414750 20050101 12:24   1.000 269.000   3.100   9.700  10.800 1015.50
9414750 20050101 12:30   1.600 267.000   2.800   9.600  10.800 1015.60
9414750 20050101 12:36   1.600 278.000   3.400   9.500  10.800 1015.60
9414750 20050101 12:42   0.500 255.000   2.700   9.400  10.800 1015.70
9414750 20050101 12:48   2.600 191.000   3.300   9.300  10.700 1015.60
9414750 20050101 12:54   3.300 183.000   3.900   9.400  10.700 1015.60
9414750 20050101 13:00   2.900 129.000   3.700   8.900  10.800 1015.80
9414750 20050101 13:06   2.600 126.000   3.300   8.500  10.800 1015.90
9414750 20050101 13:12   2.100 119.000   2.500   8.400  10.800 1015.90
9414750 20050101 13:18   2.400  96.000   3.100   8.000  10.700 1015.90
9414750 20050101 13:24   1.000  94.000   3.400   7.900  10.800 1016.00
9414750 20050101 13:30   2.400  98.000   2.900   7.900  10.800 1016.10
9414750 20050101 13:36   1.800  98.000   2.700   7.600  10.800 1016.10
9414750 20050101 13:42   2.000  88.000   2.900   7.400  10.800 1016.10
9414750 20050101 13:48   2.400  94.000   3.400   7.400  10.800 1016.20
9414750 20050101 13:54   2.300  97.000   3.100   7.400  10.800 1016.30
9414750 20050101 14:00   2.800  95.000   3.300   7.300  10.800 1016.40
9414750 20050101 14:06   2.900  99.000   3.600   7.300  10.800 1016.40
9414750 20050101 14:12   3.300 105.000   4.000   7.400  10.800 1016.50
9414750 20050101 14:18   3.400 102.000   4.100   7.400  10.800 1016.40
9414750 20050101 14:24   3.300 108.000   4.400   7.600  10.700 1016.40
9414750 20050101 14:30   3.300 108.000   4.200   7.600  10.800 1016.40
9414750 20050101 14:36   3.300 102.000   4.000   7.600  10.800 1016.60
9414750 20050101 14:42   3.100 100.000   4.400   7.500  10.800 1016.60
9414750 20050101 14:48   2.600 101.000   3.500   7.500  10.800 1016.70
9414750 20050101 14:54   2.500  98.000   3.400   7.500  10.800 1016.80
9414750 20050101 15:00   2.600  98.000   3.100   7.400  10.800 1016.80
9414750 20050101 15:06   2.800 101.000   3.300   7.400  10.800 1016.90
9414750 20050101 15:12   2.400  97.000   3.400   7.400  10.800 1016.90
9414750 20050101 15:18   2.500 103.000   3.500   7.400  10.800 1017.00
9414750 20050101 15:24   2.900 107.000   3.900   7.600  10.800 1017.00
9414750 20050101 15:30   2.700 112.000   4.100   7.600  10.800 1017.00
9414750 20050101 15:36   3.600 108.000   4.300   7.600  10.800 1017.10
9414750 20050101 15:42   3.200 106.000   4.500   7.500  10.800 1017.20
9414750 20050101 15:48   2.900 103.000   4.000   7.500  10.800 1017.30
9414750 20050101 15:54   3.300 102.000   4.400   7.500  10.800 1017.40
9414750 20050101 16:00   3.700 102.000   4.300   7.600  10.800 1017.50
9414750 20050101 16:06   3.400 105.000   4.300   7.700  10.800 1017.50
9414750 20050101 16:12   3.400 101.000   3.900   7.800  10.800 1017.60
9414750 20050101 16:18   3.400 109.000   4.400   7.800  10.800 1017.50
9414750 20050101 16:24   3.700 113.000   4.600          10.800 1017.50
9414750 20050101 16:30   3.900 116.000   4.500   8.000  10.800 1017.60
9414750 20050101 16:36   4.100 113.000   4.600   7.900  10.800 1017.60
9414750 20050101 16:42   4.200 113.000   4.900   8.000  10.800 1017.70
9414750 20050101 16:48   4.200 120.000   4.900   8.100  10.800 1017.80
9414750 20050101 16:54   3.900 114.000   4.600   8.200  10.800 1017.90
9414750 20050101 17:00   4.100 117.000   4.600   8.300  10.800 1017.90
9414750 20050101 17:06   5.100 124.000   5.800   8.500  10.800 1017.90
9414750 20050101 17:12   5.900 128.000   6.500   8.700  10.800 1018.00
9414750 20050101 17:18   5.200 130.000   6.400   8.900  10.800 1018.00
9414750 20050101 17:24   5.400 132.000   5.900   9.000  10.700 1018.00
9414750 20050101 17:30   6.300 131.000   7.000   9.200  10.700 1018.10
9414750 20050101 17:36   6.100 130.000   6.600   9.200  10.700 1018.20
9414750 20050101 17:42                                                
9414750 20050101 17:48   6.400 125.000   7.200   9.200  10.700 1018.30
9414750 20050101 17:54   6.000 129.000   6.900   9.200  10.700 1018.30
9414750 20050101 18:00   7.200 132.000   7.900   9.100  10.700 1018.40
9414750 20050101 18:06   6.900 133.000   7.900   9.200  10.800 1018.50
9414750 20050101 18:12   7.400 138.000   8.100   9.200  10.800 1018.60
9414750 20050101 18:18   6.900 148.000   8.000   9.300  10.700 1018.70
9414750 20050101 18:24   6.000 157.000   8.000   9.200  10.800 1018.70
9414750 20050101 18:30   4.500 160.000   6.900   9.500  10.800 1018.90
9414750 20050101 18:36   3.400 169.000   4.500          10.800 1018.80
9414750 20050101 18:42   3.700 161.000   4.400   9.600  10.800 1018.80
9414750 20050101 18:48   3.700 160.000   4.400   9.600  10.800 1018.90
9414750 20050101 18:54   3.900 156.000   4.700   9.800  10.800 1018.90
9414750 20050101 19:00   4.000 157.000   4.600   9.900  10.800 1018.90
9414750 20050101 19:06   3.800 150.000   4.900   9.700  10.800 1018.80
9414750 20050101 19:12   4.100 138.000   4.500   9.800  10.900 1018.80
9414750 20050101 19:18   4.500 141.000   5.200   9.700  10.900 1018.70
9414750 20050101 19:24   4.400 141.000   4.900   9.700  11.000 1018.60
9414750 20050101 19:30   4.600 137.000   5.000   9.800  11.000 1018.50
9414750 20050101 19:36   3.600 138.000   4.700   9.800  11.100 1018.40
9414750 20050101 19:42   3.900 146.000   4.300   9.900  11.100 1018.50
9414750 20050101 19:48   5.700 165.000   7.200   9.500  11.100 1018.50
9414750 20050101 19:54   5.500 186.000   7.900   9.300  11.100 1018.60
9414750 20050101 20:00   3.100 165.000   6.600   9.100  11.100 1018.20
9414750 20050101 20:06   4.200 183.000   4.800   9.600  11.100 1018.10
9414750 20050101 20:12   3.100 182.000   5.800   9.900  11.100 1017.90
9414750 20050101 20:18   2.900 166.000   3.900  10.100  11.100 1018.00
9414750 20050101 20:24   2.800 153.000   3.400  10.100  11.100 1017.90
9414750 20050101 20:30   2.200 152.000   2.900  10.300  11.100 1017.80
9414750 20050101 20:36                                                
9414750 20050101 20:42   2.400 135.000   2.800  10.400  11.100 1017.70
9414750 20050101 20:48   2.100 159.000   2.700  10.500  11.100 1017.70
9414750 20050101 20:54   3.600 177.000   4.000  10.700  11.100 1017.60
9414750 20050101 21:00   2.100 201.000   3.600  10.900  11.100 1017.50
9414750 20050101 21:06   0.400 260.000   2.100  11.200  11.100 1017.50
9414750 20050101 21:12   0.200 274.000   4.200  11.200  11.100 1017.40
9414750 20050101 21:18   0.600 243.000   2.700  11.500  11.100 1017.40
9414750 20050101 21:24   1.200 260.000   4.400  11.800  11.100 1017.40
9414750 20050101 21:30   1.500 274.000   4.100  11.900  11.000 1017.40
9414750 20050101 21:36   1.800 286.000   3.400  11.700  11.000 1017.30
9414750 20050101 21:42   2.000 283.000   4.200  11.700  10.900 1017.30
9414750 20050101 21:48   2.800 279.000   4.200  11.600  10.900 1017.10
9414750 20050101 21:54   2.800 273.000   4.300  11.500  10.900 1017.10
9414750 20050101 22:00   2.300 272.000   5.300  11.600  10.900 1017.20
9414750 20050101 22:06   2.100 279.000   4.100  11.700  10.900 1017.20
9414750 20050101 22:12   1.800 267.000   4.000  11.600  10.800 1017.20
9414750 20050101 22:18   1.000 256.000   3.200  11.600  10.800 1017.30
9414750 20050101 22:24                                                
9414750 20050101 22:30   1.500 241.000   4.100  11.800  10.800 1017.10
9414750 20050101 22:36   1.700 264.000   5.300  11.800  10.800 1017.10
9414750 20050101 22:42   2.000 280.000   4.400  11.400  10.800 1017.10
9414750 20050101 22:48   1.700 280.000   3.600  11.300  10.800 1017.20
9414750 20050101 22:54   2.800 285.000   5.500  10.700  10.800 1017.20
9414750 20050101 23:00   2.400 284.000   4.400  10.500  10.800 1017.20
9414750 20050101 23:06   1.600 276.000   3.400  10.600  10.800 1017.20
9414750 20050101 23:12   1.100 266.000   3.300  10.800  10.800 1017.20
9414750 20050101 23:18   1.900 268.000   2.900  11.000  10.800 1017.20
9414750 20050101 23:24   2.000 275.000   3.800  11.200  10.900 1017.10
9414750 20050101 23:30   2.400 277.000   3.700  11.300  10.900 1017.20
9414750 20050101 23:36   1.800 253.000   3.900  11.400  10.900 1017.20
9414750 20050101 23:42   2.700 274.000   4.000  11.300  10.900 1017.10
9414750 20050101 23:48   1.900 277.000   3.900  11.200  10.900 1017.10
9414750 20050101 23:54   1.900 278.000   3.800  11.200  10.900 1017.10
9414750 20050102 00:00   1.900 279.000   3.800  11.100  10.900 1017.00
9414750 20050102 00:06   2.500 274.000   3.400  11.000  10.900 1017.00
9414750 20050102 00:12   2.300 284.000   3.400  11.000  10.900 1017.00
9414750 20050102 00:18   2.600 283.000   4.000  11.000  10.900 1017.20
9414750 20050102 00:24   2.400 277.000   3.500  11.000  10.900 1017.20
9414750 20050102 00:30   1.900 273.000   3.700  10.900  10.900 1017.20
9414750 20050102 00:36   3.100 282.000   3.900  10.600  10.900 1017.20
9414750 20050102 00:42   0.800 274.000   3.500  10.500  10.900 1017.10
9414750 20050102 00:48   2.100 282.000   2.900  10.600  10.900 1017.00
9414750 20050102 00:54   2.400 271.000   3.500  10.400  10.900 1017.20
9414750 20050102 01:00   3.300 271.000   5.200   9.900  10.900 1017.20
9414750 20050102 01:06   2.500 268.000   3.400  10.000  10.900 1017.20
9414750 20050102 01:12   1.400 268.000   3.100  10.100  10.900 1017.20
9414750 20050102 01:18   0.900 272.000   2.100  10.100  10.900 1017.10
9414750 20050102 01:24   1.100 266.000   2.100  10.100  10.900 1017.10
9414750 20050102 01:30   1.000 263.000   2.800  10.100  10.900 1017.20
9414750 20050102 01:36   0.300 258.000   2.700  10.100  10.900 1017.30
9414750 20050102 01:42   0.100 257.000   2.300  10.200  10.900 1017.40
9414750 20050102 01:48   2.000 201.000   4.900   9.900  10.900 1017.40
9414750 20050102 01:54   4.100 177.000   5.300   9.600  10.900 1017.50
9414750 20050102 02:00   4.900 178.000   5.300   9.300  10.900 1017.40
9414750 20050102 02:06                                                
9414750 20050102 02:12   3.700 179.000   4.400   9.100  10.900 1017.50
9414750 20050102 02:18   3.700 170.000   4.200   9.300  10.900 1017.50
9414750 20050102 02:24   4.400 167.000   4.800   9.200  10.900 1017.50
9414750 20050102 02:30   4.500 167.000   4.900   9.300  10.900 1017.50
9414750 20050102 02:36   4.500 155.000   5.200   9.300  10.900 1017.40
9414750 20050102 02:42   3.600 152.000   4.200   9.400  10.900 1017.40
9414750 20050102 02:48   2.900 144.000   4.100   9.500  10.900 1017.50
9414750 20050102 02:54   3.300 143.000   3.700   9.600  10.900 1017.50
9414750 20050102 03:00   2.800 144.000   3.500   9.500  10.900 1017.50
9414750 20050102 03:06   2.500 149.000   3.200   9.600  10.900 1017.50
9414750 20050102 03:12   2.900 168.000   3.200   9.600  10.900 1017.40
9414750 20050102 03:18   2.500 170.000   3.000   9.600  10.900 1017.50
9414750 20050102 03:24   2.700 170.000   2.900   9.600  10.900 1017.50
9414750 20050102 03:30   2.200 157.000   2.800   9.600  10.900 1017.50
9414750 20050102 03:36   2.600 158.000   2.900   9.700  10.900 1017.30
9414750 20050102 03:42   3.300 162.000   3.800   9.800  10.900 1017.30
9414750 20050102 03:48   3.900 160.000   4.300   9.800  10.900 1017.40
9414750 20050102 03:54   4.000 152.000   4.500   9.800  10.900 1017.40
9414750 20050102 04:00   4.100 155.000   4.400   9.800  10.900 1017.30
9414750 20050102 04:06   4.200 158.000   4.600   9.800  10.900 1017.30
9414750 20050102 04:12   5.000 159.000   5.400   9.800  10.900 1017.30
9414750 20050102 04:18   4.800 154.000   5.500   9.800  10.900 1017.40
9414750 20050102 04:24   4.500 155.000   5.500   9.700  10.900 1017.40
9414750 20050102 04:30   4.500 147.000   4.900   9.600  10.900 1017.40
9414750 20050102 04:36   4.400 141.000   5.200   9.600  10.900 1017.40
9414750 20050102 04:42   4.300 136.000   4.600   9.500  10.900 1017.50
9414750 20050102 04:48   3.800 125.000   4.700   9.400  10.900 1017.50
9414750 20050102 04:54   3.500 115.000   4.100   9.200  10.900 1017.60
9414750 20050102 05:00   3.600 120.000   4.500   9.200  10.900 1017.40
9414750 20050102 05:06   3.300 126.000   3.900   9.400  10.900 1017.40
9414750 20050102 05:12   3.500 121.000   4.200   9.300  10.900 1017.40
9414750 20050102 05:18   3.100 123.000   3.700   9.200  10.900 1017.50
9414750 20050102 05:24   3.500 125.000   4.000   9.400  10.900 1017.50
9414750 20050102 05:30   4.000 126.000   4.700   9.300  10.900 1017.50
9414750 20050102 05:36   5.000 128.000   5.700   9.400  10.900 1017.40
9414750 20050102 05:42   4.000 143.000   6.100   9.300  10.900 1017.40
9414750 20050102 05:48   3.700 152.000   4.500   9.400  10.900 1017.40
9414750 20050102 05:54   3.700 151.000   4.300   9.600  10.900 1017.50
9414750 20050102 06:00   4.500 146.000   4.900   9.600  10.900 1017.40
9414750 20050102 06:06   4.400 138.000   4.800   9.600  10.900 1017.40
9414750 20050102 06:12   4.200 138.000   4.900   9.600  10.900 1017.40
9414750 20050102 06:18   3.900 141.000   4.800   9.600  10.900 1017.50
9414750 20050102 06:24   3.200 127.000   4.700   9.400  10.900 1017.40
9414750 20050102 06:30   3.300 114.000   3.900   9.200  10.900 1017.40
9414750 20050102 06:36   3.500 117.000   4.100   9.100  10.900 1017.30
9414750 20050102 06:42   2.800 119.000   4.200   9.100  10.900 1017.40
9414750 20050102 06:48   3.200 119.000   3.800   9.100  10.900 1017.50
9414750 20050102 06:54   3.100 115.000   4.100   9.100  10.900 1017.50
9414750 20050102 07:00   3.100 116.000   3.800   9.100  10.900 1017.40
9414750 20050102 07:06   3.100 116.000   3.700   9.100  10.900 1017.30
9414750 20050102 07:12   3.000 110.000   3.700   9.000  10.900 1017.30
9414750 20050102 07:18   3.100 107.000   3.700   9.000  10.900 1017.40
9414750 20050102 07:24   2.900 106.000   4.000   8.900  10.900 1017.50
9414750 20050102 07:30   3.700 118.000   4.300   9.100  10.900 1017.40
9414750 20050102 07:36   3.600 120.000   4.500   9.100  11.000 1017.30
9414750 20050102 07:42   4.000 121.000   4.700   9.200  11.000 1017.20
9414750 20050102 07:48   3.700 113.000   4.900   9.200  11.000 1017.30
9414750 20050102 07:54   4.100 112.000   4.600   9.100  11.000 1017.40
9414750 20050102 08:00   3.600 121.000   4.200   9.100  11.000 1017.30
9414750 20050102 08:06   3.300 117.000   4.400   9.000  11.000 1017.20
9414750 20050102 08:12   3.700 120.000   4.300   9.000  11.000 1017.20
9414750 20050102 08:18                                                
9414750 20050102 08:24   5.500 132.000   6.000   9.500  11.000 1016.80
