Port Chicago, CA 
Station ID: 9415144
Meteorological Observations

Station Date      Time Wind Sp Wind Dr Wind Gt Air Tmp H2O Tmp Baro Pr
DCP#:                        1       1       1       1       1       1
Units:                 Mtr/Sec Degrees Mtr/Sec  Degr C  Degr C   mbars
Data%:  StnDtm     GMT  98.036  98.036  98.036  97.798  97.917  97.917  
Maximum:                15.300 359.000  18.500  13.600  10.400 1028.60  
Minimum:                 0.000   0.000   0.000   2.400   8.100 991.100  
------- -------- ----- ------- ------- ------- ------- ------- ------- 
9415144 20050101 00:00   5.700 215.000   8.800  10.300  10.000 1011.20
9415144 20050101 00:06   4.900 192.000   8.000  10.400  10.100 1011.20
9415144 20050101 00:12   3.700 195.000   7.200  10.300  10.000 1011.20
9415144 20050101 00:18   4.100 189.000   7.000  10.100  10.000 1011.30
9415144 20050101 00:24   3.900 193.000   7.300   9.400  10.000 1011.20
9415144 20050101 00:30   2.400 196.000   5.500  10.000  10.000 1011.40
9415144 20050101 00:36   2.900 187.000   5.500   9.300  10.000 1011.30
9415144 20050101 00:42   2.800 183.000   5.500   9.600  10.000 1011.30
9415144 20050101 00:48   1.400 199.000   4.200   9.300  10.000 1011.10
9415144 20050101 00:54   1.800 201.000   3.300   9.100  10.000 1011.30
9415144 20050101 01:00   3.200 223.000   3.600   9.200  10.000 1011.10
9415144 20050101 01:06   2.500 244.000   3.500   8.700  10.000 1011.30
9415144 20050101 01:12   4.400 225.000   5.900   8.300  10.100 1011.40
9415144 20050101 01:18   4.200 214.000   6.300   8.300  10.000 1011.40
9415144 20050101 01:24   3.900 220.000   4.800   8.600  10.000 1011.50
9415144 20050101 01:30   3.300 224.000   4.100   7.800  10.000 1011.30
9415144 20050101 01:36   2.900 215.000   4.400   7.600  10.000 1011.50
9415144 20050101 01:42   4.100 210.000   5.700   8.000  10.000 1011.30
9415144 20050101 01:48   3.600 211.000   5.700   7.700  10.000 1011.40
9415144 20050101 01:54   1.900 196.000   5.300   8.200  10.000 1011.20
9415144 20050101 02:00   1.400 191.000   4.100   7.900  10.000 1011.50
9415144 20050101 02:06   3.100 175.000   4.800   8.000  10.000 1011.10
9415144 20050101 02:12   2.900 161.000   4.600   8.100  10.100 1011.30
9415144 20050101 02:18   4.100 163.000   4.900   8.400  10.100 1011.40
9415144 20050101 02:24   3.900 159.000   4.800   8.200  10.100 1011.30
9415144 20050101 02:30   3.600 159.000   5.100   8.300  10.000 1011.40
9415144 20050101 02:36   3.600 158.000   6.000   8.300  10.000 1011.10
9415144 20050101 02:42   3.900 167.000   6.100   8.300  10.000 1011.30
9415144 20050101 02:48   4.700 162.000   5.600          10.100 1011.00
9415144 20050101 02:54   3.800 167.000   6.100   8.300  10.000 1011.10
9415144 20050101 03:00   3.500 169.000   5.600   8.600  10.000 1010.90
9415144 20050101 03:06   3.500 170.000   5.100   8.400  10.000 1011.10
9415144 20050101 03:12   3.500 170.000   5.200   8.500  10.000 1011.10
9415144 20050101 03:18                                                
9415144 20050101 03:24   4.400 171.000   6.500   8.500  10.100 1011.00
9415144 20050101 03:30   6.000 174.000   8.100   8.800  10.000 1011.20
9415144 20050101 03:36   5.800 184.000   8.700   8.500  10.000 1011.20
9415144 20050101 03:42   4.600 192.000   8.200   8.800  10.000 1011.40
9415144 20050101 03:48   2.900 194.000   7.200   8.500  10.000 1011.40
9415144 20050101 03:54   3.300 188.000   6.000   8.600  10.000 1011.60
9415144 20050101 04:00   6.000 177.000   8.200   8.500  10.000 1011.30
9415144 20050101 04:06   6.300 178.000   7.600   8.400  10.000 1011.50
9415144 20050101 04:12   5.700 182.000   7.300   8.500  10.000 1011.50
9415144 20050101 04:18   5.900 177.000   7.200   8.600  10.000 1011.50
9415144 20050101 04:24   5.600 180.000   7.200   8.300  10.000 1011.50
9415144 20050101 04:30   5.100 178.000   7.700   8.600  10.000 1011.50
9415144 20050101 04:36   4.500 174.000   5.900   8.700  10.000 1011.60
9415144 20050101 04:42   4.400 175.000   6.000   8.800  10.000 1011.40
9415144 20050101 04:48   3.800 182.000   5.700   8.900  10.000 1011.50
9415144 20050101 04:54   4.100 182.000   5.800   8.800  10.000 1011.70
9415144 20050101 05:00   4.100 182.000   6.500   8.900  10.000 1011.80
9415144 20050101 05:06   5.000 183.000   6.500   8.900  10.000 1011.90
9415144 20050101 05:12   3.600 185.000   5.500   8.800   9.900 1011.70
9415144 20050101 05:18   4.900 183.000   6.900   8.600   9.900 1011.90
9415144 20050101 05:24   4.400 186.000   6.900   8.800   9.900 1011.80
9415144 20050101 05:30   4.300 186.000   6.600   8.700   9.900 1012.20
9415144 20050101 05:36   3.600 185.000   6.300   8.600   9.900 1012.10
9415144 20050101 05:42   3.500 186.000   6.100   8.600   9.900 1012.30
9415144 20050101 05:48   4.400 175.000   6.200   8.600   9.900 1012.10
9415144 20050101 05:54   4.500 174.000   6.000   8.600   9.900 1012.40
9415144 20050101 06:00   4.000 171.000   5.800   8.800   9.900 1012.20
9415144 20050101 06:06   4.100 170.000   5.300   8.600   9.800 1012.40
9415144 20050101 06:12   4.300 170.000   5.800   8.800   9.800 1012.60
9415144 20050101 06:18   4.000 176.000   5.900   8.900   9.900 1012.80
9415144 20050101 06:24   4.100 180.000   5.900   8.700   9.900 1012.60
9415144 20050101 06:30   5.000 177.000   6.200   8.900   9.900 1012.90
9415144 20050101 06:36   4.300 171.000   5.700   8.600   9.800 1012.80
9415144 20050101 06:42   3.100 178.000   5.300   8.700   9.800 1012.80
9415144 20050101 06:48   3.700 176.000   5.100   8.700   9.800 1012.60
9415144 20050101 06:54   4.200 179.000   5.800   8.700   9.800 1012.80
9415144 20050101 07:00   2.600 188.000   5.500   8.700   9.900 1012.90
9415144 20050101 07:06   2.600 199.000   5.100   8.400   9.900 1013.20
9415144 20050101 07:12   2.900 190.000   4.800   8.200   9.800 1013.30
9415144 20050101 07:18   1.800 188.000   4.500   8.300   9.900 1013.20
9415144 20050101 07:24   3.700 184.000   4.900   8.400   9.900 1013.30
9415144 20050101 07:30   2.200 195.000   4.200   8.100   9.900 1013.30
9415144 20050101 07:36   1.700 195.000   4.300   8.200   9.900 1013.30
9415144 20050101 07:42   1.200 208.000   3.700   8.400   9.800 1013.30
9415144 20050101 07:48   3.000 246.000   4.400   8.900   9.800 1013.30
9415144 20050101 07:54   4.200 226.000   5.200   8.600   9.800 1013.40
9415144 20050101 08:00   2.600 206.000   4.100   8.400   9.700 1013.50
9415144 20050101 08:06   2.800 209.000   3.800   8.500   9.700 1013.50
9415144 20050101 08:12   1.500 197.000   3.500   8.200   9.700 1013.40
9415144 20050101 08:18                                                
9415144 20050101 08:24   2.000 187.000   3.800   8.300   9.700 1013.50
9415144 20050101 08:30   2.300 189.000   4.200   8.500   9.600 1013.80
9415144 20050101 08:36                           8.100   9.700 1013.50
9415144 20050101 08:42   3.600 173.000   4.800   8.200   9.700 1013.60
9415144 20050101 08:48   2.400 189.000   5.200   8.000   9.700 1013.60
9415144 20050101 08:54   1.600 196.000   3.800   8.400   9.700 1013.60
9415144 20050101 09:00   3.200 213.000   4.800   8.400   9.700 1013.70
9415144 20050101 09:06   2.700 211.000   4.800   8.200   9.600 1013.70
