San Francisco, CA 	
Station ID: 9414290	
Meteorological Observations

Station Date      Time Wind Sp Wind Dr Wind Gt Air Tmp H2O Tmp Baro Pr
DCP#:                        1       1       1       1       1       1
Units:                 Mtr/Sec Degrees Mtr/Sec  Degr C  Degr C   mbars
Data%:  StnDtm     GMT  99.226  99.226  99.226  98.988   0.000  99.137  
Maximum:                 9.900 359.000  14.000  13.600   0.000 1027.10  
Minimum:                 0.000   0.000   0.000   5.400   0.000 991.100  
------- -------- ----- ------- ------- ------- ------- ------- ------- 
9414290 20050101 00:00   1.700 205.000   6.200   8.500         1011.00
9414290 20050101 00:06   1.600 174.000   2.500   8.300         1011.00
9414290 20050101 00:12   0.000  89.000   2.300   8.200         1011.10
9414290 20050101 00:18   0.000 177.000   0.100   8.200         1011.10
9414290 20050101 00:24   0.900 153.000   2.400   8.100         1011.10
9414290 20050101 00:30   0.600  89.000   2.500   8.100         1011.20
9414290 20050101 00:36   2.400 170.000   5.600   8.300         1011.10
9414290 20050101 00:42   1.800 198.000   4.300   8.200         1011.40
9414290 20050101 00:48   2.100 166.000   5.300   8.200         1011.10
9414290 20050101 00:54   0.800 153.000   5.000   8.400         1011.10
9414290 20050101 01:00   1.000 127.000   2.500   8.400         1011.20
9414290 20050101 01:06   2.500 156.000   4.900   8.600         1011.20
9414290 20050101 01:12   1.500 164.000   3.900   8.600         1011.10
9414290 20050101 01:18   1.300 148.000   3.200   8.600         1011.10
9414290 20050101 01:24   1.700  84.000   3.400   8.700         1010.90
9414290 20050101 01:30   1.900  74.000   3.000   8.700         1010.90
9414290 20050101 01:36   1.700  81.000   3.200   8.700         1010.80
9414290 20050101 01:42   1.500  75.000   2.200   8.800         1010.70
9414290 20050101 01:48   0.600 106.000   2.200   8.800         1010.70
9414290 20050101 01:54   1.100 110.000   3.400   8.800         1010.70
9414290 20050101 02:00   1.700 129.000   3.000   9.000         1010.70
9414290 20050101 02:06   1.800  85.000   2.300   9.100         1010.70
9414290 20050101 02:12                                                
9414290 20050101 02:18   2.500 110.000   4.200   9.700         1010.80
9414290 20050101 02:24   2.100 106.000   4.800   9.700         1010.80
9414290 20050101 02:30   2.900 115.000   6.000   9.800         1010.80
9414290 20050101 02:36   3.900 126.000   5.200  10.100         1010.70
9414290 20050101 02:42   5.700 189.000   9.900  10.100         1010.70
9414290 20050101 02:48   5.200 136.000  11.900                 1011.00
9414290 20050101 02:54   2.900 137.000   6.700   8.700         1011.00
9414290 20050101 03:00   4.100 142.000  11.900   9.300         1011.10
9414290 20050101 03:06   3.000 145.000   5.600   9.300         1011.10
9414290 20050101 03:12   2.500 137.000   6.100   9.200         1011.20
9414290 20050101 03:18   1.400 126.000   3.700   9.100         1011.20
9414290 20050101 03:24   3.300 140.000   5.800   9.100         1011.20
9414290 20050101 03:30   2.800 129.000   5.000   9.400         1011.20
9414290 20050101 03:36   2.200 124.000   4.000   9.500         1011.20
9414290 20050101 03:42   2.000 137.000   3.400   9.500         1011.30
9414290 20050101 03:48   1.100 157.000   3.700   9.600         1011.30
9414290 20050101 03:54   2.900 133.000   4.300   9.700         1011.40
9414290 20050101 04:00   1.800 126.000   3.200   9.800         1011.40
9414290 20050101 04:06   2.600 152.000   5.000   9.800         1011.40
9414290 20050101 04:12   2.200 134.000   4.800  10.000         1011.50
9414290 20050101 04:18   2.100 135.000   5.900   9.900         1011.50
9414290 20050101 04:24   1.800 124.000   3.300   9.900         1011.60
9414290 20050101 04:30   2.700 120.000   5.000   9.900         1011.60
9414290 20050101 04:36   2.700 158.000   4.600   9.900         1011.60
9414290 20050101 04:42   2.100 164.000   5.000  10.200         1011.70
9414290 20050101 04:48   2.700 144.000   4.300  10.200         1011.70
9414290 20050101 04:54   2.700 152.000   4.500  10.000         1011.80
9414290 20050101 05:00   2.500 127.000   3.300  10.200         1011.80
9414290 20050101 05:06   1.900 141.000   4.600  10.200         1011.70
9414290 20050101 05:12   2.800 149.000   4.600  10.200         1011.80
9414290 20050101 05:18   1.800 140.000   4.800  10.100         1011.80
9414290 20050101 05:24   2.100 132.000   4.300  10.100         1011.80
9414290 20050101 05:30   2.500 119.000   3.800  10.200         1011.90
9414290 20050101 05:36   2.600 139.000   4.400  10.200         1012.10
9414290 20050101 05:42   1.400 128.000   3.700  10.300         1012.10
9414290 20050101 05:48   1.200 118.000   4.100  10.300         1012.10
9414290 20050101 05:54   2.200 175.000   5.000  10.300         1012.20
9414290 20050101 06:00   1.400 189.000   7.700   9.700         1012.50
9414290 20050101 06:06   1.700 147.000   3.700   9.000         1012.40
9414290 20050101 06:12   2.600 158.000   4.100   9.200         1012.50
9414290 20050101 06:18   0.000 170.000   3.400   9.200         1012.50
9414290 20050101 06:24   0.400 115.000   1.900   9.100         1012.50
9414290 20050101 06:30   1.200 116.000   2.300   9.300         1012.50
9414290 20050101 06:36   1.700 149.000   3.300   9.500         1012.70
