Redwood City, CA
Station ID: 9414523
Meteorological Observations

Station Date      Time Wind Sp Wind Dr Wind Gt Air Tmp H2O Tmp Baro Pr
DCP#:                        1       1       1       1       1       1
Units:                 Mtr/Sec Degrees Mtr/Sec  Degr C  Degr C   mbars
Data%:  StnDtm     GMT  97.861  97.861  97.861  97.639  97.722  97.750  
Maximum:                13.200 359.000  20.900  14.400  11.000 1029.80  
Minimum:                 0.000   0.000   0.000   2.200   9.500 991.400  
------- -------- ----- ------- ------- ------- ------- ------- ------- 
9414523 20050101 00:00   3.900 206.000   7.300  11.800  10.700 1012.00
9414523 20050101 00:06   6.100 204.000   7.400  11.300  10.700 1012.20
9414523 20050101 00:12   4.100 190.000   7.100  11.000  10.700 1012.10
9414523 20050101 00:18   3.400 192.000   6.600  11.000  10.700 1012.00
9414523 20050101 00:24   3.100 192.000   5.700  10.800  10.700 1011.90
9414523 20050101 00:30   2.100 194.000   5.800  10.800  10.700 1011.80
9414523 20050101 00:36   3.700 198.000   5.800  10.800  10.700 1012.00
9414523 20050101 00:42   3.200 194.000   4.800  10.800  10.700 1011.90
9414523 20050101 00:48   2.700 200.000   4.800  10.800  10.700 1011.90
9414523 20050101 00:54   3.300 196.000   5.300  10.800  10.700 1011.90
9414523 20050101 01:00   2.300 200.000   4.900  10.800  10.700 1011.80
9414523 20050101 01:06   2.700 198.000   5.200  10.800  10.700 1011.80
9414523 20050101 01:12   3.000 202.000   4.400  10.700  10.700 1011.90
9414523 20050101 01:18   3.500 211.000   5.300  10.500  10.700 1011.90
9414523 20050101 01:24   2.600 210.000   5.000  10.600  10.700 1012.00
9414523 20050101 01:30   2.500 209.000   4.400  10.000  10.700 1012.10
9414523 20050101 01:36   1.900 182.000   4.900   9.800  10.700 1011.90
9414523 20050101 01:42   1.900 203.000   4.600   9.600  10.700 1012.00
9414523 20050101 01:48   1.000 189.000   3.700   9.300  10.700 1012.10
9414523 20050101 01:54   2.800 247.000   4.500   9.300  10.700 1012.30
9414523 20050101 02:00   3.100 253.000   4.900   9.400  10.700 1012.40
9414523 20050101 02:06   2.000 225.000   4.300   8.900  10.700 1012.40
9414523 20050101 02:12   1.400 208.000   3.900   8.900  10.700 1012.40
9414523 20050101 02:18   1.800 198.000   4.000   8.900  10.700 1012.30
9414523 20050101 02:24   1.000 190.000   3.500   8.800  10.700 1012.20
9414523 20050101 02:30   1.500 202.000   4.200   8.800  10.700 1012.30
9414523 20050101 02:36   1.400 199.000   3.700   8.900  10.800 1012.20
9414523 20050101 02:42   2.000 206.000   4.100   9.100  10.800 1012.10
9414523 20050101 02:48   3.200 195.000   4.900          10.700 1012.10
9414523 20050101 02:54   1.400 202.000   5.000   9.200  10.700 1012.20
9414523 20050101 03:00   4.300 251.000   6.000  10.300  10.700 1012.90
9414523 20050101 03:06   3.600 247.000   8.800   9.000  10.700 1012.70
9414523 20050101 03:12   4.500 221.000   6.200   8.600  10.700 1012.60
9414523 20050101 03:18   4.400 202.000   6.100   8.600  10.800 1012.70
9414523 20050101 03:24   3.000 194.000   6.200   8.200  10.700 1012.70
9414523 20050101 03:30   2.300 191.000   5.200   8.200  10.700 1012.70
9414523 20050101 03:36   2.400 200.000   4.500   8.300  10.800 1012.80
9414523 20050101 03:42   0.900 190.000   3.800   8.300  10.800 1012.80
9414523 20050101 03:48   1.800 190.000   4.000   8.300  10.800 1012.80
9414523 20050101 03:54   1.600 189.000   3.500   8.300  10.800 1012.60
9414523 20050101 04:00   1.800 193.000   3.900   8.400  10.800 1012.60
9414523 20050101 04:06   2.200 186.000   4.300   8.600  10.800 1012.60
9414523 20050101 04:12   1.600 184.000   4.300   8.600  10.800 1012.60
9414523 20050101 04:18   1.100 198.000   3.700   8.700  10.800 1012.70
9414523 20050101 04:24   1.100 206.000   1.900   8.900  10.800 1012.80
9414523 20050101 04:30   2.400 197.000   3.800   9.000  10.800 1012.80
9414523 20050101 04:36   0.200 195.000   1.800   9.000  10.800 1012.90
9414523 20050101 04:42   0.000 197.000   1.600   9.000  10.800 1012.90
9414523 20050101 04:48   0.100 195.000   1.700   9.100  10.800 1012.90
9414523 20050101 04:54   0.300 213.000   1.900   9.100  10.800 1012.90
9414523 20050101 05:00   0.000 203.000   0.000   9.100  10.800 1013.00
9414523 20050101 05:06   0.000 173.000   0.000   9.100  10.800 1013.10
9414523 20050101 05:12   0.000 187.000   0.000   9.100  10.800 1013.10
